city,month,tavg,tmin,tmax,prcp
Bangalore,1,21.879569892473118,16.51989247311828,28.717741935483872,0.8580645161290323
Bangalore,2,23.63128078817734,17.289388341543514,30.925759441707715,0.5035714285714286
Bangalore,3,26.519354838709678,20.108602150537635,33.633870967741935,3.435483870967742
Bangalore,4,27.436666666666667,21.824444444444442,34.445,18.513333333333332
Bangalore,5,26.122580645161293,21.558602150537634,32.67903225806452,37.31612903225806
Bangalore,6,24.30388888888889,20.72222222222222,29.816111111111113,21.023333333333333
Bangalore,7,23.46761290322581,20.465182795698926,28.405720430107525,23.80477419354839
Bangalore,8,23.26709677419355,20.35290322580645,28.18451612903226,31.633548387096774
Bangalore,9,23.626666666666665,20.294666666666664,28.673333333333336,51.828
Bangalore,10,23.447096774193547,19.871612903225806,28.76645161290323,49.52903225806452
Bangalore,11,22.642666666666667,18.964666666666666,27.914666666666665,18.323999999999998
Bangalore,12,21.494193548387095,17.278709677419354,27.40774193548387,3.387096774193549
Chennai,1,25.506451612903223,21.270967741935483,30.086021505376348,7.72258064516129
Chennai,2,26.435673234811166,21.521141215106734,31.52471264367816,1.0964285714285713
Chennai,3,28.676881720430107,23.7747311827957,34.050537634408606,0.667741935483871
Chennai,4,30.82166666666667,26.38277777777778,35.955555555555556,1.28
Chennai,5,32.21397849462365,27.867741935483874,37.92204301075269,3.138709677419355
Chennai,6,31.94666666666667,27.350555555555555,37.88944444444444,8.463333333333335
Chennai,7,30.48178494623656,26.100516129032258,35.619075268817205,35.67509677419355
Chennai,8,30.103225806451615,25.57032258064516,35.22516129032258,30.0658064516129
Chennai,9,29.34666666666667,25.43,34.035333333333334,27.751999999999995
Chennai,10,28.505161290322583,24.856774193548386,33.109032258064516,49.31225806451613
Chennai,11,27.127999999999997,23.596,30.876666666666665,85.94800000000001
Chennai,12,26.25741935483871,22.274838709677418,30.169032258064515,23.55483870967742
Delhi,1,13.566129032258063,7.723655913978495,20.915053763440856,11.483870967741936
Delhi,2,17.93074712643678,10.715065681444992,25.742364532019707,2.0332512315270934
Delhi,3,24.00483870967742,16.266129032258064,31.689784946236557,7.090322580645161
Delhi,4,30.13222222222222,21.779444444444447,38.36722222222222,2.7666666666666666
Delhi,5,32.59838709677419,25.051612903225806,40.31505376344086,8.380645161290323
Delhi,6,33.70388888888889,27.67888888888889,39.964444444444446,11.49
Delhi,7,31.527505376344084,27.24131182795699,36.40647311827957,50.49251612903225
Delhi,8,30.898709677419355,26.95032258064516,35.23225806451613,28.776774193548384
Delhi,9,30.106666666666666,25.50733333333333,34.944,21.723999999999997
Delhi,10,26.619999999999997,19.310322580645163,33.82967741935484,5.48516129032258
Delhi,11,19.75466666666667,12.920666666666667,28.252,0.4679999999999999
Delhi,12,14.33741935483871,7.8748387096774195,22.613548387096774,2.0051612903225804
Lucknow,1,13.847849462365593,8.526881720430106,21.34193548387097,4.606451612903226
Lucknow,2,18.39100985221675,11.688649425287357,26.34729064039409,1.551970443349754
Lucknow,3,24.526344086021506,16.956451612903226,32.69838709677419,1.5645161290322585
Lucknow,4,30.56888888888889,22.534444444444446,38.382222222222225,1.8333333333333335
Lucknow,5,32.24623655913979,25.4994623655914,39.21182795698925,5.932258064516129
Lucknow,6,32.63611111111111,27.737222222222226,38.59111111111111,15.066666666666666
Lucknow,7,30.483698924731183,27.045698924731184,35.34870967741936,54.597032258064516
Lucknow,8,29.609677419354842,26.330967741935485,33.98193548387097,58.29677419354839
Lucknow,9,29.325333333333333,25.833999999999996,34.212666666666664,30.88
Lucknow,10,27.07032258064516,21.283870967741937,33.91096774193549,1.161290322580645
Lucknow,11,20.724,14.378666666666666,29.074,1.048
Lucknow,12,15.498709677419356,9.701935483870967,23.46322580645161,1.3587096774193546
Mumbai,1,25.573118279569893,17.705913978494625,30.64892473118279,0.1967741935483871
Mumbai,2,27.03704844006568,18.90654761904762,32.213608374384236,0.010714285714285714
Mumbai,3,28.908602150537632,21.98709677419355,33.417204301075266,0.0032258064516129032
Mumbai,4,30.096666666666664,24.956111111111113,33.77888888888889,0.0
Mumbai,5,30.810215053763443,27.156989247311827,33.85215053763441,8.729032258064516
Mumbai,6,29.338333333333335,25.972222222222225,32.40944444444444,106.14666666666665
Mumbai,7,28.202623655913982,25.31436559139785,30.30935483870968,241.6797419354839
Mumbai,8,27.885806451612904,25.181290322580644,30.05548387096774,105.60000000000001
Mumbai,9,28.168,24.978,30.698666666666668,119.72800000000001
Mumbai,10,29.658709677419353,24.734193548387097,33.52129032258064,11.891612903225806
Mumbai,11,29.217333333333336,22.514666666666667,33.96933333333333,5.0600000000000005
Mumbai,12,26.623870967741937,19.783870967741937,31.43741935483871,7.006451612903225
Rajasthan,1,21.879569892473118,16.51989247311828,28.717741935483872,0.8580645161290323
Rajasthan,2,23.63128078817734,17.289388341543514,30.925759441707715,0.5035714285714286
Rajasthan,3,26.519354838709678,20.108602150537635,33.633870967741935,3.435483870967742
Rajasthan,4,27.436666666666667,21.824444444444442,34.445,18.513333333333332
Rajasthan,5,26.122580645161293,21.558602150537634,32.67903225806452,37.31612903225806
Rajasthan,6,24.30388888888889,20.72222222222222,29.816111111111113,21.023333333333333
Rajasthan,7,23.46761290322581,20.465182795698926,28.405720430107525,23.80477419354839
Rajasthan,8,23.26709677419355,20.35290322580645,28.18451612903226,31.633548387096774
Rajasthan,9,23.626666666666665,20.294666666666664,28.673333333333336,51.828
Rajasthan,10,23.447096774193547,19.871612903225806,28.76645161290323,49.52903225806452
Rajasthan,11,22.642666666666667,18.964666666666666,27.914666666666665,18.323999999999998
Rajasthan,12,21.494193548387095,17.278709677419354,27.40774193548387,3.387096774193549
